NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Gene Group Identifier	Gene Group Method
945082	clpP	ATP-dependent Clp protease proteolytic subunit	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947672	pnp	polynucleotide phosphorylase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946886	ptsH	phosphocarrier protein HPr	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947970	rpoH	RNA polymerase sigma factor RpoH	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944922	dinB	DNA polymerase IV	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945741	minD	Z-ring positioning protein MinD	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944758	nhaA	Na(+):H(+) antiporter NhaA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945097	adk	adenylate kinase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948442	emrE	multidrug/betaine/choline efflux transporter EmrE	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945746	umuD	DNA polymerase V protein UmuD	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945041	phoA	alkaline phosphatase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948370	glnA	glutamine synthetase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944780	araC	DNA-binding transcriptional dual regulator AraC	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948403	sodA	superoxide dismutase (Mn)	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946401	cheA	chemotaxis protein CheA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948469	birA	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945105	dnaX	DNA polymerase III subunit gamma;DNA polymerase III subunit tau	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947244	relA	GDP/GTP pyrophosphokinase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946765	mutM	DNA-formamidopyrimidine glycosylase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948218	dnaN	beta sliding clamp	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948544	lexA	DNA-binding transcriptional repressor LexA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944843	mrcB	PBP1Bgamma;peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947570	dnaG	DNA primase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946399	tar	methyl-accepting chemotaxis protein Tar	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944753	dnaJ	chaperone protein DnaJ	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945553	aspC	aspartate aminotransferase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945862	topA	DNA topoisomerase 1	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945843	tonB	Ton complex subunit TonB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948471	rrfB	5S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
947690	ftsH	ATP-dependent zinc metalloprotease FtsH	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948516	rrfE	5S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
946359	umuC	DNA polymerase V catalytic protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948273	rrfC	5S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
944898	rrfH	5S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
945083	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947070	rrfG	5S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
947769	rrfD	5S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
947771	rrfF	5S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
948537	malK	maltose ABC transporter ATP binding subunit	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947286	recB	exodeoxyribonuclease V subunit RecB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948353	dsbA	thiol:disulfide oxidoreductase DsbA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945272	seqA	negative modulator of initiation of replication	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948763	pyrI	aspartate carbamoyltransferase, PyrI subunit	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944877	dnaE	DNA polymerase III subunit alpha	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948347	uvrD	DNA helicase II	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948422	glpF	glycerol facilitator	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946708	alkB	DNA oxidative demethylase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948214	yidC	membrane protein insertase YidC	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948412	pfkA	6-phosphofructokinase 1	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945354	galE	UDP-glucose 4-epimerase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948767	pyrB	aspartate carbamoyltransferase catalytic subunit	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948426	priA	primosomal protein N'	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945222	dacA	D-alanyl-D-alanine carboxypeptidase DacA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947077	clpB	ClpB80;chaperone protein ClpB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947139	degP	periplasmic serine endoprotease DegP	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948123	secB	protein export chaperone SecB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948532	malF	maltose ABC transporter membrane subunit MalF	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948884	tsr	methyl-accepting chemotaxis protein Tsr	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945081	tig	trigger factor	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946441	dnaQ	DNA polymerase III subunit epsilon	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947893	dam	DNA adenine methyltransferase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944761	ileS	isoleucine--tRNA ligase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945472	ihfA	integration host factor subunit alpha	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947175	alaS	alanine--tRNA ligase/DNA-binding transcriptional repressor	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947682	nusA	transcription termination/antitermination protein NusA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946132	poxB	pyruvate oxidase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945102	ftsK	cell division DNA translocase FtsK	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946885	ligA	DNA ligase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946732	nrdB	ribonucleoside-diphosphate reductase 1 subunit beta	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946204	trpA	tryptophan synthase subunit alpha	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946144	pntB	pyridine nucleotide transhydrogenase subunit beta	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948530	malG	maltose ABC transporter membrane subunit MalG	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946628	pntA	pyridine nucleotide transhydrogenase subunit alpha	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947272	envZ	sensor histidine kinase EnvZ	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945310	glnS	glutamine--tRNA ligase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948847	fimH	type 1 fimbriae D-mannose specific adhesin	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946710	ada	DNA-binding transcriptional dual regulator/DNA repair protein Ada	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946612	nrdA	ribonucleoside-diphosphate reductase 1 subunit alpha	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947416	mscS	small conductance mechanosensitive channel MscS	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947755	cyaA	adenylate cyclase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948321	tatA	twin arginine protein translocation system - TatA protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948486	secE	Sec translocon subunit SecE	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946225	infC	translation initiation factor IF-3	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948462	oxyR	DNA-binding transcriptional dual regulator OxyR	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948691	mutL	DNA mismatch repair protein MutL	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945740	minE	Z-ring positioning protein MinE	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948874	arcA	DNA-binding transcriptional dual regulator ArcA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945536	rpsA	30S ribosomal subunit protein S1	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945370	bioB	biotin synthase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944856	fhuA	ferrichrome outer membrane transporter/phage receptor	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947102	ffh	signal recognition particle protein component	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947913	ompR	DNA-binding transcriptional dual regulator OmpR	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944778	ftsA	cell division protein FtsA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947882	map	methionine aminopeptidase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948548	lamB	maltose outer membrane channel/phage lambda receptor protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
949051	lrp	DNA-binding transcriptional dual regulator Lrp	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945112	acrA	multidrug efflux pump membrane fusion lipoprotein AcrA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945385	uvrB	UvrABC excision nuclease subunit B	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947294	recC	exodeoxyribonuclease V subunit RecC	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948468	btuB	cobalamin outer membrane transporter	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948292	rep	ATP-dependent DNA helicase Rep	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944870	bamA	outer membrane protein assembly factor BamA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945744	minC	Z-ring positioning protein MinC	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948253	atpE	ATP synthase Fo complex subunit c	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947287	recD	exodeoxyribonuclease V subunit RecD	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947780	def	peptide deformylase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944909	ffs	ncRNA	Escherichia coli str. K-12 substr. MG1655		ncRNA		
945530	msbA	ATP-binding lipopolysaccharide transport protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945864	rnb	RNase II	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945533	ihfB	integration host factor subunit beta	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948658	aspA	aspartate ammonia-lyase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946400	cheW	chemotaxis protein CheW	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946880	crr	Enzyme IIA(Glc)	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947067	ung	uracil-DNA glycosylase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945295	fur	DNA-binding transcriptional dual regulator Fur	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947847	fusA	elongation factor G	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948070	cspA	cold shock protein CspA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948626	proP	osmolyte:H(+) symporter ProP	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947447	mutY	adenine DNA glycosylase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947978	ftsY	signal recognition particle receptor	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948567	soxS	DNA-binding transcriptional dual regulator SoxS	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944794	aceF	pyruvate dehydrogenase, E2 subunit	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946479	dcm	DNA-cytosine methyltransferase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947050	rpoE	RNA polymerase sigma factor RpoE	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948159	spoT	bifunctional (p)ppGpp synthase/hydrolase SpoT	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948559	uvrA	UvrABC excision nuclease subunit A	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945764	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945702	icd	isocitrate dehydrogenase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948588	mreB	dynamic cytoskeletal protein MreB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945084	amtB	ammonium transporter	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948917	trpR	DNA-binding transcriptional repressor TrpR	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948162	recG	ATP-dependent DNA helicase RecG	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947684	infB	translation initiation factor IF-2beta'	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945135	tus	DNA replication terminus site-binding protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946175	lpp	murein lipoprotein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947122	nth	endonuclease III	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948318	recQ	ATP-dependent DNA helicase RecQ	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946122	frr	ribosome-recycling factor	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946222	thrS	threonine--tRNA ligase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948252	atpB	ATP synthase Fo complex subunit a	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947720	secG	Sec translocon subunit SecG	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945651	ptsG	glucose-specific PTS enzyme IIBC component	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944850	dksA	RNA polymerase-binding transcription factor DksA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945101	dps	DNA protection during starvation protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945803	thrA	fused aspartate kinase/homoserine dehydrogenase 1	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948864	dnaC	DNA replication protein DnaC	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947369	prfB	peptide chain release factor RF2	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945240	mrdA	peptidoglycan DD-transpeptidase MrdA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948566	soxR	DNA-binding transcriptional dual regulator SoxR	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945549	mukB	chromosome partitioning protein MukB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946369	ruvA	Holliday junction branch migration complex subunit RuvA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948328	tatC	twin arginine protein translocation system - TatC protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944779	polB	DNA polymerase II	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947839	bfr	bacterioferritin	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947887	arcB	sensor histidine kinase ArcB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947845	rpsL	30S ribosomal subunit protein S12	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948209	recF	recombination mediator protein RecF	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948221	tnaA	tryptophanase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945185	ompT	omptin family outer membrane protease OmpT	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946906	gltX	glutamate--tRNA ligase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948499	hupA	DNA-binding protein HU-alpha	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948748	ppa	inorganic pyrophosphatase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
2847742	micF	ncRNA	Escherichia coli str. K-12 substr. MG1655		ncRNA		
949035	thyA	thymidylate synthase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
949095	hupB	DNA-binding protein HU-beta	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946378	ruvC	crossover junction endodeoxyribonuclease RuvC	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948247	atpF	ATP synthase Fo complex subunit b	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948635	melB	melibiose:H(+)/Na(+)/Li(+) symporter	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948405	cpxA	sensor histidine kinase CpxA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944799	ftsI	peptidoglycan DD-transpeptidase FtsI	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946716	ompC	outer membrane porin C	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947005	phr	deoxyribodipyrimidine photolyase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947693	dacB	peptidoglycan DD-endopeptidase DacB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948245	atpC	ATP synthase F1 complex subunit epsilon	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948669	ampC	beta-lactamase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947363	dsbC	protein disulfide isomerase DsbC	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947921	malT	DNA-binding transcriptional activator MalT	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945046	phoB	DNA-binding transcriptional dual regulator PhoB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944805	acpP	acyl carrier protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947176	csrA	carbon storage regulator	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948484	rplK	50S ribosomal subunit protein L11	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948652	fadR	DNA-binding transcriptional dual regulator FadR	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947714	rpoN	RNA polymerase sigma factor RpoN	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944812	surA	chaperone SurA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947018	hmp	nitric oxide dioxygenase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947318	pcnB	poly(A) polymerase I	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948332	rrsA	16S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
944816	lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944854	lpd	lipoamide dehydrogenase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945389	metK	methionine adenosyltransferase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947861	argR	DNA-binding transcriptional dual regulator ArgR	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948489	rplL	50S ribosomal subunit protein L12	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944953	sodB	superoxide dismutase (Fe)	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945258	serA	phosphoglycerate dehydrogenase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945341	cydA	cytochrome bd-I subunit 1	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944823	ftsQ	cell division protein FtsQ	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945528	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
